ID,풍력_발전량
0,5735.586802771402
1,7812.73417766171
2,4871.287472225056
3,4344.194566383667
4,4106.949221003801
5,4952.454281071812
6,5029.244431578496
7,5158.388235561812
8,6473.997482582199
9,4719.481545442017
10,5462.683573301154
11,5932.244586003479
12,6368.024761745037
13,3742.163365408662
14,5475.484248539928
15,4976.10700341122
16,6484.526061835873
17,6334.017437498871
18,7394.964232879283
19,5462.2191078817705
20,7268.050795779214
21,4050.1833830826217
22,4140.931945024349
23,4463.039917264861
24,7354.6661847884825
25,4726.708399273339
26,5329.375304225861
27,5470.441702380951
28,5405.932183009485
29,5463.870392087556
30,4720.029143002932
31,6939.016943794326
32,5347.7644628578855
33,5248.539542354381
34,5147.473413753149
35,6268.122464335902
36,5201.265138296527
37,4358.212805832038
38,6516.219032952038
39,3693.0255426474323
40,5706.816165836935
41,4567.105136905331
42,5196.981753038563
43,6376.31521352689
44,4982.461286483827
45,6142.89516822045
46,4750.2310853909585
47,5632.125661256025
48,7535.652706363035
49,4866.513077450683
50,5063.099811567838
51,4887.995526588784
52,5461.773092675838
53,6516.926245079376
54,7175.7756674332195
55,5545.756525172299
56,5096.975145863515
57,4716.5453912581725
58,4504.907811566547
59,4593.006372162083
60,5804.921255395311
61,4852.133767402382
62,5909.7941741263785
63,5086.62236764055
64,3516.8939982955344
65,4840.516016533307
66,4624.299160245631
67,5477.075437016203
68,7291.533325721801
69,4630.992151806015
70,5598.917884992086
71,4098.5362390171795
72,4455.590691329184
73,6934.057714471477
74,6384.906827940518
75,6719.778123895754
76,4792.283972133242
77,5204.011491516489
78,5343.563266598969
79,6519.754617538478
80,5074.476771333255
81,4767.916789972398
82,6591.747560429125
83,4543.877029402676
84,5422.779825217527
85,5665.847665656649
86,5420.149176304112
87,4761.592587500927
88,4257.609903494478
89,8085.738401224749
90,7191.397767025308
91,6642.8499120626075
92,5556.589415217313
93,5951.068682694226
94,5001.956678056507
95,4892.3221565774
96,6322.955505027814
97,5621.608904627559
98,4496.379792290711
99,5302.301510784891
100,7170.023451541871
101,5150.205603244191
102,6512.0060896932555
103,4696.293827739428
104,5247.660101180518
105,6245.293348343112
106,4876.42333387144
107,6068.25758243131
108,4713.577199666848
109,6683.340164623805
110,5851.879721833073
111,5296.883887409524
112,4772.165712116548
113,5232.142147205042
114,5293.371194759064
115,5902.138679457625
116,4729.262840862037
117,5310.591902314423
118,5740.769226123695
119,5010.980121370521
120,5889.6303362771
121,4901.217295245966
122,7054.854815246188
123,3994.8223022216116
124,7095.709125456953
125,5999.00906129292
126,4437.426735791349
127,5587.005198591331
128,5426.677434524929
129,5627.619286483445
130,3969.6716351302457
131,4523.73391609767
132,7562.944610218023
133,7638.65228589336
134,5361.153066156607
135,7271.315514545102
136,6479.605413882877
137,4762.403628026892
138,5097.47517479994
139,4827.612693381176
140,7841.148679912323
141,4024.1218824055104
142,3860.834820297314
143,6015.0954772080295
144,5597.610610584961
145,4856.412462242297
146,7029.291895959817
147,6354.5117148382415
148,3987.0429104361974
149,6345.859617522568
150,5280.789549525565
151,5740.646415107796
152,7430.124806072563
153,6787.389169804868
154,5043.615327046864
155,5277.725371673529
156,4962.5400826128025
157,4461.677311239211
158,5372.35170919681
159,5088.711668461241
160,4674.793471877172
161,5931.234689525561
162,3979.3145388971025
163,4517.0595940244675
164,6239.125569636497
165,5573.139949329867
166,6353.619247279712
167,7177.148056163947
168,8258.585024133441
169,4349.757855119766
170,6312.680086539593
171,8494.690336266678
172,5841.449063575157
173,6274.216681881138
174,4696.272796727571
175,4621.6451944456785
176,4773.720054747304
177,3873.8923884442775
178,4384.939378563082
179,4753.290328058123
180,4251.004643771274
181,5216.660138305684
182,5647.283550763212
183,7803.603561634431
184,6154.232954603824
185,6789.909789882891
186,5452.30817013912
187,8239.296403983317
188,7850.396490505227
189,4227.102349152556
190,6573.358457835566
191,7577.287633270462
192,6810.581073147012
193,5212.772402654111
194,5886.165906510811
195,3928.874141511129
196,4327.050994422083
197,4097.512509551074
198,4585.226446538349
199,6128.693001311389
200,4385.623545040406
201,5036.1809824475495
202,8231.897354264918
203,5671.645287340565
204,5429.929967341945
205,7293.772160321707
206,4739.790557508124
207,6398.1341423465055
208,4201.058334868838
209,4934.618057553598
210,7328.861222892418
211,7534.833298195299
212,6240.179047898273
213,6315.917986672925
214,4886.093744538375
215,4531.391018590191
216,4946.473085548554
217,8805.382394024055
218,4971.905697352515
219,4354.545803306624
220,4420.913145048486
221,4861.477539432002
222,4957.789467076509
223,7148.64549229492
224,5173.016727271723
225,7206.496097057068
226,5029.413241670525
227,4058.422299636324
228,5223.073099264962
229,4416.361527901812
230,6302.882111423503
231,4814.829505141766
232,6115.893113384431
233,4916.95207171503
234,5817.423700723943
235,5156.083297866804
236,5565.939175911248
237,5993.590232526127
238,6001.465973919927
239,4876.45824487324
240,7257.540986031207
241,5061.5814571562805
242,7800.347828858183
